id,author_id,author_name,author_gender,content,voteup_count
158525877,9d487f0dfa767662c5b8bf6a4f93cb26,娜破仑,0,办公室零食怎么能少了网红／人气零食呢？难道夹心奶酪雪包，超浓芝士玉米片，格力高都被我一个人吃了吗？这里已经有非常多文艺清新的零食推荐，但个人认为有时候我们要一些“眼前一亮”“超好吃”的零食相互调剂一下。下面我将会针对“不太文艺”和“健康中最好吃的”两大特点进行介绍。办公室适合的零食特点有以下：1，方便买到（前面好多赞的介绍看得我好饿，但是去哪儿买呢？我介绍的至少都可以在某宝和楼下买到）2，价格可控…,2348
273817794,7083d245bff7e0ac569755bb71578f60,半截小虫,0,又来写零食了。对于每天对着电脑一整天的人来说，每次都会忍不住吃点零食。办公室的零食选择。我觉得和老板总是蜜汁相关，我以前的公司，是不准吃零食的，如果吃点薯片手上沾上粉，去拿电话或者文件绝对会被骂，特别有时候遇到正在啃，电话打来的情况。但后来的一家公司，我们老板还会出差带周黑鸭。一公司的人聚着吃。嘻嘻。所以，我在这里也推荐了不少各式各样的零食，有解嘴馋也有解饿。除了避开味道太重的辣条之类，很多都是…,543
46846514,4a623d1b8f5ff8986d26356f5d58f20f,[已重置],1,鉴于我辛苦写的内容被很多很多人转载，那就来个版权声明好了： 此文任何人皆可随意转载，抹去作者姓名亦可。 公司福利，零食水果随便吃，而负责采购零食的人又恰好是我，所以说我来回答这问题还真是再合适不过了呢。 (ﾉ´▽｀)ﾉ♪诶嘿 （而且最近采购水果的任务好像也落到了我身上.............真是后悔买自行车了(´-ω-｀) [图片] 统计公司里什么零食是最受欢迎的，也是我的任务之一啊啊啊啊（《论如何成为优秀的零食采…,16975
87052780,acb05f758c6249ff1a1d8aac2fe2aee6,苏菲,0,给大家推荐我最近在东京的公司吃的零食：战斗用大肠，海苔夹芥末，直接啃蘑菇。 [图片] 估计每个白领都懂：工作时间太漫长，总想抓点啥来吃。但是吃多了又怕胖，而且天天反过来倒过去就是甜的。 说实话，无论是草莓味，焦糖味，苏打味还是各种奇葩味道，脆的软的浓的清爽的巧克力，吃多了都会统一厌烦。因为都是甜食！甜的或者碳水化合物的东西吃多了不仅腻，一般一小袋卡路里都在200千卡以上。 最近日本不少公司推出了咸味零食，我立…,5544
263277512,7f42fbe412ce82e2ff6a320c0cfbca2c,长长长颈鹿,0,3.21更新喵喵喵～过了个年诶佛类八第都好嘛？有吃到好吃的零食吗？心情还愉快吗哈哈哈？好好好我差不多了，再下去要变知心姐姐了。这段时间吃到几样好吃的东西，来给大家更一波儿～ 芝士夹心饼干 可能。。中午真的被食堂饿到了=。=皮蛋炒番茄？？敢问哪位大神吃过？！看着那个吃了可能会中毒的颜色，答主已经料想到下午的结局了，但是想到还有下午茶，还有什么坎过不去的呢┓( ´∀` )┏说到芝士，不知道大家都爱不爱。答主…,481
149674279,703df45e986a61a72c9ad54eb4c1c57b,蔡澜,1,零食之中，有两个主角：陈皮梅和加应子。包在一张蓝色或褐色的蜡纸之中，从前常被蜜饯浸湿，变成一塌糊涂。后来改进，先裹一层透明塑料。这些零食一干了就不好吃，一定是湿沥沥地，所以粤人亦称之为干湿货，亦称凉果。 当然也有雪花梅、咸柑桔、柠汁姜、咸黄皮、飞机榄等等。杏脯制成后叫蟠桃果，装进一盒画着天女散花的小纸盒中，叫“百花魁”。澳门制造，数十年来设计不改动，让人怀旧一番。 腌制的仁稔，味道最为独特，但有季…,1735
21134817,883f7f6a27943b0b04e0146b414ac8a0,知乎用户,0,额-________-&#39;&#39; 谢邀，今天看完书，打开扣扣吓尿了，300多封知乎邮件…………给跪………… 上知乎几个月，第一次遇到这么多人邀请答同一道题啊………… 感谢大家对小吃货的信任。 妹子还未工作，所以不知道办公室啥情况……而且一楼的maggie姐姐已经答得很好了。我就说点我这么多年在老师眼皮子地下吃东西的经验吧。 =============以下是图片来自一号店我真的不是打广告的分界线============= 先说零食，既然是在办公室吃，肯定…,7445
83906685,20c646ce7d86cce0d59028cc80b417c6,奶牛Denny,1,我们花了整整15320元，才写出这篇文章。 看完之后，它能帮你： 1、省下至少12000元。2、国内能买到的进口零食，最好吃又吃不胖的，几乎都在这里了。换句话说，以后下午、晚上肚子饿又怕胖，知道该吃什么好吃的了。3、研发出市面上还不存在的超级吃不胖零食。以下才是正文......p.s.文末有广告，慎入。------------------------------------ 这个丧心病狂的故事是这样开始的。乐纯一直在密谋研发一款超好吃、超百搭、吃不停、又吃…,68842
342858622,a366f390886db7606acb004c957d80e3,好姑娘老妖,0,饼干巧克力类 夹克咪 软心曲奇 参考价：¥49/箱（640g）▽ [图片] 这第一个小饼干一定要给大家推荐我的最爱这款饼干目前来我这里偷吃过以后都纷纷自己手动去搜索购买了▽ [图片] 这么一小箱有3种口味芒果蔓越莓、牛奶蛋羹、牛奶蔓越莓3个口味都很好吃不算软曲奇但是口感很酥软基本上也是属于一咬就融化在嘴里那种而且你能吃到一个小曲奇里面的果肉也是比较良心的 Knoppers牛奶榛子威化饼 参考价：¥79/24包▽ [图片] 这款威化饼干来自德国起初我就…,1116
61224142,ec554fd98e16ad6f80ab4fc872cd9a86,华宵一,0,写完发现只是放了一堆自己喜欢的零食 ……嘛开心就好 1.ritter运动巧克力 [图片] 最喜欢草莓味的(◐‿◑)﻿夏威夷果的也很棒 2.如胜海苔 [图片] 不太喜欢酱油底的海苔 [图片] 哦哈哈被我找到小包装了\(￣▽￣)/买买买 3.醋昆布 [图片] 是的没错。。。我看过银魂之后喜欢上这个的。。。（神威酷爱来我怀里(￣ε(#￣)） 4.tim tam巧克力饼干 [图片] 最近看到木下也吃了这个 5.丸玉蟹柳 [图片] 一本6块左右，评论区有说11块的。。。嗯，你买贵了，还有同类型的各种…,2450
